feature,feature_family,mean_abs_shap,mean_shap,direction
h_std_std,Color (HSV),0.04353,0.013186,Pushes FAKE
h_std_min,Color (HSV),0.042973,-0.00955,Pushes REAL
s_hist_4_min,Color (HSV),0.042528,0.015226,Pushes FAKE
glcm_homogeneity_std,Texture (GLCM),0.039742,0.013208,Pushes FAKE
lbp_hist_1_min,Texture (LBP & Gray),0.036916,-0.020501,Pushes REAL
lbp_hist_3_min,Texture (LBP & Gray),0.036779,-0.016932,Pushes REAL
glcm_contrast_std,Texture (GLCM),0.036022,-0.009932,Pushes REAL
v_std_max,Color (HSV),0.035474,-0.028051,Pushes REAL
gray_mean_max,Texture (LBP & Gray),0.03486,-0.013508,Pushes REAL
dct_high_energy_min,Frequency (DCT),0.033054,0.024352,Pushes FAKE
h_hist_1_std,Color (HSV),0.030645,0.009394,Pushes FAKE
h_hist_6_max,Color (HSV),0.028692,-0.011396,Pushes REAL
v_std_std,Color (HSV),0.027961,-0.001264,Pushes REAL
v_hist_4_min,Color (HSV),0.027704,-0.011525,Pushes REAL
dct_low_energy_std,Frequency (DCT),0.026697,-0.005308,Pushes REAL
gray_std_min,Texture (LBP & Gray),0.025787,0.015756,Pushes FAKE
dct_low_energy_max,Frequency (DCT),0.025724,-0.005068,Pushes REAL
h_hist_5_std,Color (HSV),0.024331,-0.007586,Pushes REAL
lbp_hist_8_std,Texture (LBP & Gray),0.024046,-0.002035,Pushes REAL
glcm_dissimilarity_mean,Texture (GLCM),0.023571,-0.009721,Pushes REAL
glcm_homogeneity_max,Texture (GLCM),0.02248,-0.006423,Pushes REAL
gray_std_std,Texture (LBP & Gray),0.020449,-0.000335,Pushes REAL
dct_high_low_ratio_max,Frequency (DCT),0.017546,-0.008973,Pushes REAL
glcm_dissimilarity_min,Texture (GLCM),0.015863,-0.009634,Pushes REAL
h_hist_3_mean,Color (HSV),0.015263,-0.001751,Pushes REAL
s_hist_2_min,Color (HSV),0.014776,0.003522,Pushes FAKE
h_hist_1_max,Color (HSV),0.014503,-0.001944,Pushes REAL
h_hist_0_mean,Color (HSV),0.013648,4.4e-05,Pushes FAKE
s_hist_2_max,Color (HSV),0.008718,0.003106,Pushes FAKE
h_hist_4_mean,Color (HSV),0.008561,-0.00227,Pushes REAL
s_hist_0_mean,Color (HSV),0.008373,-0.000288,Pushes REAL
v_hist_1_mean,Color (HSV),0.007868,-0.000737,Pushes REAL
v_hist_2_std,Color (HSV),0.004447,0.00123,Pushes FAKE
edge_density_min,Edge (Canny),0.000801,0.000499,Pushes FAKE
edge_mean_min,Edge (Canny),0.000801,0.000499,Pushes FAKE
s_hist_6_std,Color (HSV),0.000123,3.7e-05,Pushes FAKE
